PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
87-704;UP B¹dkowo;B¹dkowo;Kujawska;41;B¹dkowo;aleksandrowski;kujawsko-pomorskie
87-732;FUP B¹dkowo;Lubanie;;17a;Lubanie;w³oc³awski;kujawsko-pomorskie
29-100;AP Bebelno-Kolonia;Bebelno-Kolonia;;79;W³oszczowa;w³oszczowski;œwiêtokrzyskie
64-212;AP Belêcin;Belêcin;;30;Siedlec;wolsztyñski;wielkopolskie
05-622;UP Belsk Du¿y k. Grójca;Belsk Du¿y;Jana Kozietulskiego;4;Belsk Du¿y;grójecki;mazowieckie
97-409;AP Be³chatów;Be³chatów;Czapliniecka;67;Be³chatów;be³chatowski;³ódzkie
97-404;AP Be³chatów;Be³chatów;Czapliniecka;3;Be³chatów;be³chatowski;³ódzkie
97-402;AP Be³chatów;Be³chatów;Al. Ks. Kard. Stefana Wyszyñskiego;17C;Be³chatów;be³chatowski;³ódzkie
97-400;AP Be³chatów;Be³chatów;Olsztyñska;1 B;Be³chatów;be³chatowski;³ódzkie
97-405;AP Be³chatów;Be³chatów;Rynek Grocholski;27;Be³chatów;be³chatowski;³ódzkie
97-400;AP Be³chatów;Be³chatów;Wojska Polskiego;23N;Be³chatów;be³chatowski;³ódzkie
97-400;UP Be³chatów 1;Be³chatów;Koœciuszki;21;Be³chatów;be³chatowski;³ódzkie
97-408;FUP Be³chatów 1;Be³chatów;œw. Barbary;2;Be³chatów;be³chatowski;³ódzkie
97-407;FUP Be³chatów 1;Be³chatów;Energetyków;12;Be³chatów;be³chatowski;³ódzkie
97-406;FUP Be³chatów 1;Be³chatów;Malinowa;2A;Be³chatów;be³chatowski;³ódzkie
97-415;FUP Be³chatów 1;Kluki;;88;Kluki;be³chatowski;³ódzkie
24-200;UP Be³¿yce;Be³¿yce;Lubelska;3;Be³¿yce;lubelski;lubelskie
24-201;AP Be³¿yce;Be³¿yce;Bychawska;22;Be³¿yce;lubelski;lubelskie
63-700;AP Benice;Benice;Krotoszyñska;14;Krotoszyn;krotoszyñski;wielkopolskie
16-500;AP Ber¿niki;Ber¿niki;;54;Sejny;sejneñski;podlaskie
43-512;UP Bestwina;Bestwina;Podzamcze;16;Bestwina;bielski;œl¹skie
42-500;UP Bêdzin 1;Bêdzin;Ignacego Krasickiego;1;Bêdzin;bêdziñski;œl¹skie
42-500;FUP Bêdzin 1;Bêdzin;Boles³awa Chrobrego;3;Bêdzin;bêdziñski;œl¹skie
42-500;FUP Bêdzin 1;Bêdzin;rtm. Witolda Pileckiego;15;Bêdzin;bêdziñski;œl¹skie
42-500;FUP Bêdzin 1;Bêdzin;Pokoju;24;Bêdzin;bêdziñski;œl¹skie
42-506;FUP Bêdzin 1;Bêdzin;mjr. Boles³awa Zagórnego;18;Bêdzin;bêdziñski;œl¹skie
42-500;FUP Bêdzin 1;Bêdzin;¯wirki i Wigury;24 A;Bêdzin;bêdziñski;œl¹skie
42-500;FUP Bêdzin 1;CzeladŸ;Bêdziñska;80;CzeladŸ;bêdziñski;œl¹skie
42-500;FUP Bêdzin 1;Psary;Malinowicka;4;Psary;bêdziñski;œl¹skie
42-500;FUP Bêdzin 1;Sosnowiec;Stanis³awa Staszica;8b;Sosnowiec;Sosnowiec;œl¹skie
42-500;FUP Bêdzin 1;Sosnowiec;Zuzanny;20;Sosnowiec;Sosnowiec;œl¹skie
