PNA;NAZWA JEDNOSTKI ORGANIZACYJNEJ;MIEJSCOWOå∆;ULICA;NR;GMINA;POWIAT;WOJEW”DZTWO
75-211;Wydzia≥ Terenowy Transportu Koszalin;Koszalin;BohaterÛw Warszawy;3;Koszalin;Koszalin;zachodniopomorskie
80-900;Wydzia≥ Ekspedycyjno-Rozdzielczy w Pruszczu GdaÒskim;Pruszcz GdaÒski;Handlowa;4;Pruszcz GdaÒski;gdaÒski;pomorskie
75-900;Dzia≥ Ekspedycyjno-Rozdzielczy w Koszalinie;Koszalin;Szarych SzeregÛw;20;Koszalin;Koszalin;zachodniopomorskie
76-200;Wydzia≥ Terenowy Transportu S≥upsk;S≥upsk;Wita Stwosza;14;S≥upsk;S≥upsk;pomorskie
73-110;Wydzia≥ Terenowy Transportu Stargard ;Stargard;Stefana Okrzei;16;Stargard;stargardzki;zachodniopomorskie
70-661;Wydzia≥ Terenowy Transportu Szczecin;Szczecin;GdaÒska;15a;Szczecin;Szczecin;zachodniopomorskie
70-900;Wydzia≥ Ekspedycyjno-Rozdzielczy w Szczecinie;Szczecin;Dworcowa;20 b;Szczecin;Szczecin;zachodniopomorskie
41-850;POL Region Dystrybucji Katowice;Zabrze;Macieja MieløyÒskiego;5;Zabrze;Zabrze;úlπskie
43-302;Wydzia≥ Terenowy Transportu Bielsko-Bia≥a;Bielsko-Bia≥a;LegionÛw;47;Bielsko-Bia≥a;Bielsko-Bia≥a;úlπskie
42-200;Wydzia≥ Terenowy Transportu CzÍstochowa;CzÍstochowa;èrÛdlana;6;CzÍstochowa;CzÍstochowa;úlπskie
40-555;Wydzia≥ Terenowy Transportu Katowice;Katowice;Rolna;7;Katowice;Katowice;úlπskie
45-125;Wydzia≥ Terenowy Transportu Opole;Opole;Sk≥adowa;2;Opole;Opole;opolskie
41-850;Wydzia≥ Terenowy Transportu Zabrze;Zabrze;Macieja MieløyÒskiego;5;Zabrze;Zabrze;úlπskie
41-850;Wydzia≥ Ekspedycyjno-Rozdzielczy w Zabrzu;Zabrze;Macieja MieløyÒskiego;5;Zabrze;Zabrze;úlπskie
30-900;POL Region Dystrybucji KrakÛw;Niepo≥omice;Wodna;4;Niepo≥omice;wielicki;ma≥opolskie
38-200;Wydzia≥ Terenowy Transportu Jas≥o;Jas≥o;Towarowa;35;Jas≥o;jasielski;podkarpackie
31-553;Wydzia≥ Terenowy Transportu KrakÛw;KrakÛw;CystersÛw;21;KrakÛw;KrakÛw;ma≥opolskie
30-900;Wydzia≥ Ekspedycyjno-Rozdzielczy Niepo≥omice;Niepo≥omice;Wodna;4;Niepo≥omice;wielicki;ma≥opolskie
33-300;Wydzia≥ Terenowy Transportu Nowy Sπcz;Nowy Sπcz;åniadeckich;13;Nowy Sπcz;Nowy Sπcz;ma≥opolskie
37-700;Wydzia≥ Terenowy Transportu Przemyúl;Przemyúl;Wernyhory;23;Przemyúl;Przemyúl;podkarpackie
35-900;Wydzia≥ Ekspedycyjno-Rozdzielczy Rudna Ma≥a;G≥ogÛw Ma≥opolski;Lotniskowa;15;G≥ogÛw Ma≥opolski;rzeszowski;podkarpackie
35-083;Wydzia≥ Terenowy Transportu RzeszÛw;RzeszÛw;Adama Matuszczaka;5;RzeszÛw;RzeszÛw;podkarpackie
33-100;Wydzia≥ Terenowy Transportu TarnÛw;TarnÛw;Mieczys≥awa Jastruna;3;TarnÛw;TarnÛw;ma≥opolskie
20-900;POL Region Dystrybucji Lublin;Lublin;Wac≥awa Moritza;2;Lublin;Lublin;lubelskie
21-500;Wydzia≥ Terenowy Transportu Bia≥a Podlaska;Bia≥a Podlaska;£omaska;43 D;Bia≥a Podlaska;Bia≥a Podlaska;lubelskie
25-900;Wydzia≥ Ekspedycyjno-Rozdzielczy w Kielcach;Kielce;al. Solidarnoúci;24;Kielce;Kielce;úwiÍtokrzyskie
25-313;Wydzia≥ Terenowy Transportu Kielce;Kielce;al. Solidarnoúci;24;Kielce;Kielce;úwiÍtokrzyskie
26-610;Dzia≥ Ekspedycyjno-Rozdzielczy w Radomiu;Radom;W≥adys≥awa Beliny-Praømowskiego;2;Radom;Radom;mazowieckie
20-900;Wydzia≥ Terenowy Transportu Lublin;Lublin;Wac≥awa Moritza;2;Lublin;Lublin;lubelskie
20-900;Wydzia≥ Ekspedycyjno-Rozdzielczy w Lublinie;Lublin;Wac≥awa Moritza;2;Lublin;Lublin;lubelskie
